clusters	colors
YLR377C	9	#4900FF
YCR007C	1	#00FF66
YHR021W-A	8	#0D00FF
YPR151C	4	#00E4FF
YPR098C	1	#00FF66
YNL033W	8	#0D00FF
YDL169C	1	#00FF66
YMR325W	5	#00A8FF
YCL040W	1	#00FF66
YFL059W	1	#00FF66
YER001W	2	#00FFA2
YHR214C-B	2	#00FFA2
YNL036W	1	#00FF66
YDR101C	2	#00FFA2
YER073W	3	#00FFDE
YPR158C-C	3	#00FFDE
YDL130W	2	#00FFA2
YEL012W	1	#00FF66
YGL103W	2	#00FFA2
YMR196W	1	#00FF66
YKL152C	3	#00FFDE
YDR144C	2	#00FFA2
YLR344W	2	#00FFA2
YDR384C	14	#FF0089
YLR409C	2	#00FFA2
YHL001W	2	#00FFA2
YNL014W	1	#00FF66
YJL153C	4	#00E4FF
YCR005C	7	#002FFF
YNL015W	1	#00FF66
YMR174C	4	#00E4FF
YLR267W	1	#00FF66
YGL189C	2	#00FFA2
YKL180W	2	#00FFA2
YGR244C	1	#00FF66
YBL064C	1	#00FF66
YKL163W	14	#FF0089
YCL020W	3	#00FFDE
YAR061W	1	#00FF66
YDL055C	2	#00FFA2
YDL024C	1	#00FF66
YOR215C	1	#00FF66
YOR040W	1	#00FF66
YOR031W	4	#00E4FF
YGL123W	3	#00FFDE
YPR015C	1	#00FF66
YCR031C	2	#00FFA2
YER024W	1	#00FF66
YKR009C	4	#00E4FF
YLR185W	2	#00FFA2
YDR085C	1	#00FF66
YNL284C-A	1	#00FF66
YNL195C	4	#00E4FF
YJR009C	10	#8500FF
YGR061C	2	#00FFA2
YJL045W	1	#00FF66
YML081C-A	1	#00FF66
YPR002W	1	#00FF66
YIL074C	2	#00FFA2
YIL148W	2	#00FFA2
YLR249W	2	#00FFA2
YGR214W	2	#00FFA2
YIL094C	2	#00FFA2
YBL059C-A	1	#00FF66
YMR244W	14	#FF0089
YOR313C	2	#00FFA2
YGR161W-C	1	#00FF66
YPL247C	1	#00FF66
YDR343C	4	#00E4FF
YPR020W	1	#00FF66
YKR057W	3	#00FFDE
YER102W	2	#00FFA2
YMR194W	2	#00FFA2
YNR045W	1	#00FF66
YMR251W	1	#00FF66
YOR051C	2	#00FFA2
YPL147W	1	#00FF66
YIL107C	8	#0D00FF
YLL041C	1	#00FF66
YPR160W	4	#00E4FF
YNR073C	1	#00FF66
YKL029C	2	#00FFA2
YGL009C	2	#00FFA2
YOR391C	5	#00A8FF
YLL046C	1	#00FF66
YHR123W	2	#00FFA2
YNR001C	1	#00FF66
YEL054C	2	#00FFA2
YOL014W	2	#00FFA2
YAL061W	1	#00FF66
YNL200C	1	#00FF66
YLR029C	2	#00FFA2
YJR094C	14	#FF0089
YHR136C	1	#00FF66
YGL259W	7	#002FFF
YBR084C-A	2	#00FFA2
YHR021C	2	#00FFA2
YKL187C	4	#00E4FF
YKL221W	8	#0D00FF
YLR345W	1	#00FF66
YNR075W	2	#00FFA2
YPL078C	1	#00FF66
YER065C	9	#4900FF
YNL248C	3	#00FFDE
YOR096W	3	#00FFDE
YMR104C	1	#00FF66
YPL081W	3	#00FFDE
YHR066W	2	#00FFA2
YHR049W	2	#00FFA2
YHL016C	1	#00FF66
YHR007C-A	8	#0D00FF
YCL054W	2	#00FFA2
YBR154C	2	#00FFA2
YML018C	2	#00FFA2
YEL069C	1	#00FF66
YPL058C	3	#00FFDE
YJR149W	1	#00FF66
YLL034C	2	#00FFA2
YMR256C	1	#00FF66
YER084W	1	#00FF66
YEL049W	5	#00A8FF
YLR340W	2	#00FFA2
YPL062W	7	#002FFF
YLR186W	2	#00FFA2
YMR206W	6	#006BFF
YGR138C	2	#00FFA2
YHR141C	2	#00FFA2
YNL202W	5	#00A8FF
YOR383C	13	#FF00C5
YHR087W	4	#00E4FF
YJL103C	1	#00FF66
YJR115W	1	#00FF66
YMR090W	1	#00FF66
YKR049C	1	#00FF66
YPR203W	11	#C100FF
YBR280C	1	#00FF66
YGR034W	3	#00FFDE
YOR047C	2	#00FFA2
YHR137W	5	#00A8FF
YER170W	1	#00FF66
YNL069C	3	#00FFDE
YER182W	1	#00FF66
YNL301C	2	#00FFA2
YLR164W	8	#0D00FF
YPL278C	1	#00FF66
YBR072W	5	#00A8FF
YOR237W	14	#FF0089
YGR183C	1	#00FF66
YBL005W-B	2	#00FFA2
YMR101C	8	#0D00FF
YIR039C	1	#00FF66
YDR165W	2	#00FFA2
YIR019C	11	#C100FF
YMR271C	1	#00FF66
YOR100C	9	#4900FF
YOR004W	2	#00FFA2
YER079W	1	#00FF66
YEL071W	2	#00FFA2
YIL176C	2	#00FFA2
YDL218W	14	#FF0089
YOR348C	4	#00E4FF
YOL124C	2	#00FFA2
YKL086W	1	#00FF66
YJR095W	9	#4900FF
YMR194C-B	1	#00FF66
YFL030W	4	#00E4FF
YKL006W	3	#00FFDE
YOR341W	2	#00FFA2
YNL237W	1	#00FF66
YJL213W	11	#C100FF
YDR031W	1	#00FF66
YMR110C	1	#00FF66
YBL092W	2	#00FFA2
YML100W	1	#00FF66
YPR145C-A	14	#FF0089
YNR014W	11	#C100FF
YNL100W	1	#00FF66
YBR067C	5	#00A8FF
YBR085W	2	#00FFA2
YBR301W	14	#FF0089
YBR046C	1	#00FF66
YKL096W	1	#00FF66
YER015W	5	#00A8FF
YLR083C	2	#00FFA2
YLR175W	2	#00FFA2
YKL141W	1	#00FF66
YJL048C	1	#00FF66
YNL093W	4	#00E4FF
YJR148W	1	#00FF66
YNL162W	2	#00FFA2
YBR085C-A	1	#00FF66
YNL208W	1	#00FF66
YCL036W	2	#00FFA2
YJL223C	2	#00FFA2
YHR214C-D	7	#002FFF
YAR029W	2	#00FFA2
YPR119W	2	#00FFA2
YER103W	1	#00FF66
YDR313C	1	#00FF66
YDR171W	1	#00FF66
YMR105C	1	#00FF66
YAL038W	10	#8500FF
YLR174W	4	#00E4FF
YOR388C	14	#FF0089
YNR053C	2	#00FFA2
YOL083W	1	#00FF66
YIL052C	2	#00FFA2
YOL048C	1	#00FF66
YHR171W	1	#00FF66
YGR087C	5	#00A8FF
YNL009W	5	#00A8FF
YEL040W	10	#8500FF
YFR032C	3	#00FFDE
YDR059C	1	#00FF66
YBR201C-A	1	#00FF66
YIL113W	1	#00FF66
YJL163C	1	#00FF66
YLR142W	1	#00FF66
YPL143W	2	#00FFA2
YCL048W-A	5	#00A8FF
YOL120C	3	#00FFDE
YDR077W	8	#0D00FF
YMR056C	1	#00FF66
YGR070W	1	#00FF66
YPL201C	6	#006BFF
YBR214W	1	#00FF66
YBL024W	2	#00FFA2
YPL189C-A	1	#00FF66
YLR395C	1	#00FF66
YGL225W	2	#00FFA2
YKL081W	2	#00FFA2
YPL280W	5	#00A8FF
YHL015W	3	#00FFDE
YLR411W	1	#00FF66
YLR333C	2	#00FFA2
YNL175C	2	#00FFA2
YMR120C	3	#00FFDE
YOR285W	1	#00FF66
YGR053C	1	#00FF66
YBR203W	1	#00FF66
YDL227C	3	#00FFDE
YPR026W	1	#00FF66
YOL127W	2	#00FFA2
YDR450W	2	#00FFA2
YEL035C	1	#00FF66
YHL040C	13	#FF00C5
YDL215C	1	#00FF66
YDL049C	8	#0D00FF
YOR382W	13	#FF00C5
YHR094C	2	#00FFA2
YGR144W	14	#FF0089
YFL014W	6	#006BFF
YOL040C	2	#00FFA2
YDR223W	8	#0D00FF
YKL093W	1	#00FF66
YKL120W	3	#00FFDE
YGR067C	4	#00E4FF
YGL253W	2	#00FFA2
YER096W	1	#00FF66
YGL157W	2	#00FFA2
YDL243C	1	#00FF66
YDR231C	1	#00FF66
YFL034C-A	10	#8500FF
YMR093W	2	#00FFA2
YDL133C-A	11	#C100FF
YBL059W	1	#00FF66
YCR091W	1	#00FF66
YDL208W	2	#00FFA2
YGR192C	3	#00FFDE
YMR085W	1	#00FF66
YDR374C	1	#00FF66
YNR050C	2	#00FFA2
YBR068C	8	#0D00FF
YJL122W	2	#00FFA2
YDR523C	1	#00FF66
YBL029C-A	1	#00FF66
YMR049C	2	#00FFA2
YPR138C	14	#FF0089
YGR256W	5	#00A8FF
YKL091C	1	#00FF66
YGL121C	4	#00E4FF
YLR441C	2	#00FFA2
YHR010W	2	#00FFA2
YOR028C	1	#00FF66
YHR203C	2	#00FFA2
YOR107W	1	#00FF66
YDL181W	1	#00FF66
YOR393W	1	#00FF66
YPL134C	1	#00FF66
YMR053C	1	#00FF66
YJR123W	2	#00FFA2
YLR355C	3	#00FFDE
YOR177C	8	#0D00FF
YMR191W	1	#00FF66
YJL189W	2	#00FFA2
YDR178W	1	#00FF66
YGL146C	1	#00FF66
YBR149W	1	#00FF66
YBR050C	4	#00E4FF
YIR038C	1	#00FF66
YAL054C	6	#006BFF
YML024W	2	#00FFA2
YGR194C	1	#00FF66
YKL085W	1	#00FF66
YFL054C	1	#00FF66
YOR310C	3	#00FFDE
YFR017C	4	#00E4FF
YJR145C	3	#00FFDE
YPR010C-A	1	#00FF66
YOL126C	4	#00E4FF
YPR191W	1	#00FF66
YMR189W	2	#00FFA2
YMR242C	2	#00FFA2
YNL269W	4	#00E4FF
YDR447C	2	#00FFA2
YLR307W	8	#0D00FF
YPL200W	4	#00E4FF
YFL026W	2	#00FFA2
YML042W	4	#00E4FF
YER131W	3	#00FFDE
YLR406C	3	#00FFDE
YGR161C	14	#FF0089
YOR186W	1	#00FF66
YKL096W-A	14	#FF0089
YJR070C	2	#00FFA2
YIL155C	4	#00E4FF
YJR146W	1	#00FF66
YEL039C	1	#00FF66
YBR025C	3	#00FFDE
YGR236C	12	#FD00FF
YGR174C	1	#00FF66
YLR300W	2	#00FFA2
YMR323W	1	#00FF66
YMR081C	4	#00E4FF
YKL142W	1	#00FF66
YIL077C	1	#00FF66
YLR197W	2	#00FFA2
YER039C	1	#00FF66
YBR285W	5	#00A8FF
YBR132C	1	#00FF66
YMR034C	1	#00FF66
YDR009W	1	#00FF66
YKL050C	8	#0D00FF
YLR367W	3	#00FFDE
YMR173W	1	#00FF66
YBL043W	1	#00FF66
YLR388W	3	#00FFDE
YJL052W	8	#0D00FF
YCR072C	2	#00FFA2
YHR097C	1	#00FF66
YLR152C	1	#00FF66
YBR291C	3	#00FFDE
YBL049W	1	#00FF66
YDR322C-A	1	#00FF66
